Simbol,Pret_CSV_2020,Pret_Real_API_2020,Trend_Real,Trend_Corect,Pred_1_Zi,Real_1_Zi,Eroare_1_Zi_%,Scor_1_Zi,Pred_1_Sapt,Real_1_Sapt,Eroare_1_Sapt_%,Scor_1_Sapt,Pred_1_Luna,Real_1_Luna,Eroare_1_Luna_%,Scor_1_Luna,Pred_1_An,Real_1_An,Eroare_1_An_%,Scor_1_An
CAMP,4.15,N/A,N/A,N/A,4.1536,N/A,N/A,N/A,4.168,N/A,N/A,N/A,4.21,N/A,N/A,N/A,4.7388,N/A,N/A,N/A
CPAC,7.35,4.6023,SCĂDERE,DA,7.44,4.6023,61.66,0.0,7.6091,4.5084,68.78,0.0,7.8692,3.7883,107.73,0.0,10.3477,5.1791,99.8,0.0
Z,31.44,31.44,SCĂDERE,DA,31.2571,30.13,3.74,100.0,31.2468,39.19,20.27,48.66,31.7611,42.46,25.2,24.01,37.1455,133.41,72.16,0.0
FTNT,100.47,20.094,CREȘTERE,NU,100.2922,20.184,396.89,0.0,100.2553,21.836,359.13,0.0,98.8222,20.868,373.56,0.0,91.3235,37.278,144.98,0.0
SWX,65.41,52.7443,CREȘTERE,NU,65.4701,54.8973,19.26,53.7,65.4923,60.937,7.48,100.0,66.314,59.7033,11.07,94.64,76.3814,56.9036,34.23,0.0
GS,145.29,126.09,CREȘTERE,NU,144.8448,130.1168,11.32,93.4,144.7261,153.5748,5.76,100.0,146.6484,153.6963,4.59,100.0,167.0548,290.5581,42.51,0.0
CCB,10.0,10.0,SCĂDERE,DA,10.0007,10.0,0.01,100.0,10.1347,12.34,17.87,60.64,10.2334,12.08,15.29,73.57,10.945,26.66,58.95,0.0
EMD,10.38,5.5606,CREȘTERE,NU,10.4075,5.5981,85.91,0.0,10.4222,5.7856,80.14,0.0,10.6181,5.8718,80.83,0.0,12.6722,7.9155,60.09,0.0
PLXS,50.26,50.26,CREȘTERE,NU,49.9683,51.57,3.11,100.0,50.6457,58.66,13.66,81.69,51.4875,60.46,14.84,75.8,59.1005,93.47,36.77,0.0
TRST,5.27,20.3202,CREȘTERE,NU,5.2743,20.513,74.29,0.0,5.288,21.0914,74.93,0.0,5.3599,23.829,77.51,0.0,5.9245,30.0109,80.26,0.0
QCOM,65.9,57.7821,CREȘTERE,NU,65.8776,59.641,10.46,97.72,66.1625,64.2969,2.9,100.0,67.1322,66.3223,1.22,100.0,77.489,123.5177,37.26,0.0
OKTA,119.57,119.57,SCĂDERE,DA,118.7271,115.99,2.36,100.0,118.4184,128.09,7.55,100.0,117.9976,148.84,20.72,46.39,114.3656,229.7,50.21,0.0
AIT,43.27,40.34,CREȘTERE,NU,43.2172,40.9273,5.6,100.0,43.5473,44.7217,2.63,100.0,44.3652,47.9567,7.49,100.0,53.2643,88.63,39.9,0.0
DY,23.95,23.95,CREȘTERE,NU,24.036,24.33,1.21,100.0,24.0602,29.01,17.06,64.69,24.4412,30.83,20.72,46.39,27.7281,92.75,70.1,0.0
WALA,21.11,19.2537,CREȘTERE,NU,21.1611,20.2479,4.51,100.0,21.2313,21.6069,1.74,100.0,21.3029,23.0753,7.68,100.0,22.5426,24.8018,9.11,100.0
WLK,35.65,32.3096,SCĂDERE,DA,35.6255,31.9017,11.67,91.64,35.6568,37.9468,6.03,100.0,36.3785,36.5964,0.6,100.0,42.7942,84.4467,49.32,0.0
BX,40.8,32.8361,CREȘTERE,NU,40.4681,33.15,22.08,39.62,40.8014,37.8017,7.94,100.0,41.4959,40.8835,1.5,100.0,46.2566,62.8159,26.36,18.19
SLRC,11.03,6.024,CREȘTERE,NU,11.0395,6.2097,77.78,0.0,11.0256,7.3894,49.21,0.0,11.2217,7.9956,40.35,0.0,12.9934,10.8599,19.65,51.77
HUBS,125.1,125.1,SCĂDERE,DA,126.8076,116.86,8.51,100.0,127.4801,139.52,8.63,100.0,128.6147,160.56,19.9,50.52,139.534,485.85,71.28,0.0
PYPL,91.38,90.894,CREȘTERE,NU,91.573,93.0227,1.56,100.0,92.2209,104.5013,11.75,91.24,94.9077,119.9686,20.89,45.55,116.6353,246.2236,52.63,0.0
